Wall time,Step,Value
1704437617.313164,102234,47.0
1704438145.336959,102520,48.0
1704438743.268964,102801,44.0
1704439322.012247,103105,45.0
1704439958.287188,103407,49.0
1704440503.058421,103699,46.0
1704441123.004362,103993,45.0
1704441811.260889,104308,47.0
1704442458.574352,104615,46.0
1704442997.394581,104919,49.0
1704443562.377532,105201,49.0
1704444170.14249,105500,48.0
1704444697.827645,105810,49.0
1704445309.197967,106095,48.0
1704445840.203049,106397,48.0
1704446457.179476,106684,46.0
1704447036.79794,106997,45.0
1704447542.755529,107292,49.0
1704448055.123578,107569,48.0
1704448572.847818,107853,47.0
1704449080.285705,108139,47.0
1704449576.95681,108421,49.0
1704450093.785999,108697,45.0
1704450575.311701,108985,48.0
1704451111.027416,109252,47.0
1704451637.486735,109548,46.0
1704452134.176848,109841,48.0
1704452693.412178,110115,48.0
1704453204.449405,110406,46.0
1704453711.16872,110677,46.0
1704454268.176533,110952,45.0
1704455092.281275,111252,46.0
1704455898.324251,111570,49.0
1704456481.724217,111882,47.0
1704456994.450835,112180,48.0
1704457505.461527,112457,49.0
1704458029.624642,112735,49.0
1704458560.743582,113021,47.0
1704459055.893308,113312,49.0
1704459560.765647,113583,50.0
1704460142.35337,113860,44.0
1704460648.354275,114178,50.0
1704461138.266412,114455,49.0
1704461675.856549,114727,47.0
1704462192.834214,115025,45.0
1704462719.481329,115313,45.0
1704463246.163155,115606,47.0
1704463775.615251,115901,46.0
1704464282.159006,116196,48.0
1704464796.147348,116479,45.0
1704465285.471935,116765,48.0
1704465825.794338,117037,45.0
1704466345.059946,117340,49.0
1704466836.262015,117630,46.0
1704467363.542438,117905,46.0
1704467891.245997,118199,46.0
1704468414.343063,118491,45.0
1704468911.239478,118782,48.0
1704469433.829072,119059,47.0
1704469953.517997,119352,47.0
1704470477.093749,119640,48.0
1704470991.094726,119931,48.0
1704471528.139208,120217,45.0
1704471993.388912,120517,50.0
1704472509.608327,120774,48.0
1704473046.29832,121060,45.0
1704473567.368028,121359,46.0
1704474102.349437,121649,46.0
1704474614.580966,121947,47.0
1704475087.926624,122231,49.0
1704475599.145274,122496,48.0
1704476117.079172,122781,46.0
1704476649.405436,123071,46.0
1704477189.213345,123370,47.0
1704477697.641699,123672,46.0
1704478205.550262,123955,47.0
1704478724.011724,124238,47.0
1704479221.685985,124528,49.0
1704479722.135947,124804,48.0
1704480244.933706,125083,47.0
1704480729.98335,125375,50.0
1704481226.714273,125645,48.0
1704481723.749348,125922,50.0
1704482242.226436,126199,48.0
1704482794.486078,126487,44.0
1704483319.284221,126792,49.0
1704483822.01374,127084,45.0
1704484375.191527,127365,45.0
1704484891.627691,127672,50.0
1704485414.900291,127960,48.0
1704485942.392156,128251,47.0
1704486445.323679,128547,46.0
1704486952.057104,128828,48.0
1704487474.704958,129110,49.0
1704488013.090365,129402,47.0
1704488536.570061,129703,50.0
1704489066.341129,129994,46.0
1704489573.914742,130289,49.0
1704490088.462702,130569,47.0
1704490621.151291,130857,44.0
1704491136.027153,131153,48.0
1704491660.228037,131440,47.0
1704492158.73249,131733,50.0
1704492660.537618,132011,48.0
1704493167.911061,132288,46.0
1704493700.021727,132572,48.0
1704494209.919052,132868,49.0
1704494721.432442,133154,49.0
1704495237.510256,133439,46.0
1704495812.409219,133725,48.0
1704496395.068524,134030,48.0
1704496930.236444,134332,47.0
1704497442.616301,134624,47.0
1704498034.997962,134905,49.0
1704498782.721567,135194,46.0
1704499377.429978,135521,50.0
1704499952.567473,135817,45.0
1704500537.204137,136122,47.0
1704501145.021787,136432,48.0
1704501871.007376,136739,45.0
1704502455.869731,137072,47.0
1704503098.702351,137373,46.0
1704503639.267012,137687,48.0
1704504214.555604,137979,50.0
1704504815.677156,138272,46.0
1704505361.020048,138579,49.0
1704505940.630621,138862,46.0
1704506471.479836,139161,49.0
1704506996.532386,139450,48.0
1704507515.724237,139739,48.0
1704508040.216226,140026,47.0
1704508559.991348,140315,49.0
1704509074.937538,140604,48.0
1704509592.88295,140891,47.0
1704510196.34955,141178,45.0
1704510772.701071,141486,48.0
1704511328.094538,141788,43.0
